"name"	"address"	"city"	"postal_code"	"latitude"	"longitude"	"k_clusters"
"RiteRug Flooring"	"2213 Distribution Center Dr, Ste 00"	"Charlotte"	"28269"	35.2769773	-80.8400448	"1321"
"The Law Office of Malkin & Associates"	"2700 N 3rd St, Ste 3055"	"Phoenix"	"85004"	33.4781149	-112.0698848	"7663"
"Cloth & Flame"	NA	"Phoenix"	"85027"	33.6782379	-112.1012912	"187"
"Ulta 3 Salon"	"1949 E Camelback Rd, Ste 146"	"Phoenix"	"85016"	33.507455	-112.040131	"7556"
"All Pro Floors"	NA	"Phoenix"	"85027"	33.6782379	-112.1012912	"187"
"AMC Kennedy Commons 20"	"33 William Kitchen Road"	"Scarborough"	"M1P 5B7"	43.7731838	-79.281541	"6440"
"Deja Vu Discs"	"26 William Kitchen Road"	"Scarborough"	"M1P 5B7"	43.7723898	-79.2822723	"6440"
"Smashburger"	"1949 E Camelback Rd, Ste 164"	"Phoenix"	"85016"	33.5078576	-112.0403713	"7556"
"Traveling Fitness Trainers"	NA	"Phoenix"	"85027"	33.6782379	-112.1012912	"187"
"Cloud Gardens"	"14 Temperance St"	"Toronto"	"M5H 1Y4"	43.6511645112	-79.3798359856	"9136"
"Lakeside Family Physicians & Urgent Care-Hntrsvlle"	"16525 Holly Crest Ln, Ste 150"	"Huntersville"	"28078"	35.4393639	-80.8647184	"11164"
"Le Shack de la Marina"	"260 Ave Venise O"	"Venise-En-Quebec"	"J0J 2K0"	45.082405	-73.1491781	"17825"
"Charlotte Mecklenburg Library - North County Regional"	"16500 Holly Crest Ln"	"Huntersville"	"28078"	35.4406835	-80.8639606	"11164"
"Sunset Grill"	"11710 Yonge St"	"Richmond Hill"	"L4E 0K4"	43.9126461	-79.4474314	"6501"
"Victory Lane Indoor Karting Center"	"2330 Tipton Dr, Ste 100"	"Charlotte"	"28206"	35.2710378	-80.8424496	"1321"
"Tailgaters"	"16640 N Reems Rd"	"Surprise"	"85374"	33.6369088586	-112.394663167	"17460"
"Jessup Foot & Ankle Specialists"	"9601 Holly Point Dr"	"Huntersville"	"28078"	35.4407501221	-80.8646621704	"11164"
"Green Chile Grill"	NA	"Phoenix"	"85027"	33.6782379	-112.1012912	"187"
"Make Your Vegas"	"101 Convention Center Dr, Ste 900"	"Las Vegas"	"89109"	36.1318813	-115.1610651	"12428"
"Lexus of Richmond Hill"	"11552 Yonge Street"	"Richmond Hill"	"L4E 3N7"	43.9087676	-79.4469386	"6501"
"Sonoran Lifestyle Real Estate"	"16824 E Ave Of The Fountains"	"Fountain Hills"	"85268"	33.604365	-111.717356	"4672"
"Mucho Burrito"	"20 William Kitchen Road"	"Toronto"	"M1P 5B7"	43.7725448608	-79.2822570801	"6440"
"4 Sons Food Stores"	"15505 W Bell Rd"	"Surprise"	"85374"	33.6380784	-112.3948271	"17460"
"Yummy House"	"4944 E Tropicana Ave"	"Las Vegas"	"89121"	36.1003339	-115.0652478	"9628"
"Barry"	"92 Rue Principale"	"Bedford"	"J0J 1A0"	45.1212577	-72.990557	"17825"
"Jafrum International"	"3731 Woodpark Blvd, Ste A"	"Charlotte"	"28206"	35.2834674132	-80.8430642028	"1321"
"Soul Food Books Etc"	"3-213 19 St NW"	"Calgary"	"T2N 2H9"	51.05395	-114.105758	"7046"
"Camelback Colonnade"	"1949 E Camelback Rd"	"Phoenix"	"85016"	33.5078576	-112.0403713	"7556"
"Precision Orthotics & Prosthetics"	"100 N Pecos Rd"	"Henderson"	"89074"	36.0336476	-115.0995394	"3019"
"Party City"	"29 William Kitchen Road"	"Toronto"	"M1P 5B7"	43.774568	-79.2806198	"6440"
"Stephen Flitman, MD"	"2601 N 3rd St, Ste 125, 21st Century Neurology"	"Phoenix"	"85004"	33.476833	-112.069034	"7663"
"Cafe Mirage Grill & Lounge"	"26 William Kitchen Road"	"Scarborough"	"M1P 5B7"	43.7729494	-79.2813443	"6440"
"The Stark Team-Elite Realty"	"8625 S Eastern Ave"	"Las Vegas"	"89123"	36.033009	-115.11945	"9331"
"Richis Diner"	"15609 W Bell Rd"	"Surprise"	"85374"	33.636979	-112.3960108	"17460"
"In-N-Out Burger"	"4840 N 20th St"	"Phoenix"	"85016"	33.5073002958	-112.0396049	"7556"
"GTRS"	NA	"Phoenix"	"85027"	33.6782379	-112.1012912	"187"
"Sears Canada"	"27 William Kitchen Road"	"Scarborough"	"M1P 5B7"	43.7730438	-79.2814115	"6440"
"Fountain Hills Law Firm"	"13034 N Verde River Dr, Ste 104"	"Fountain Hills"	"85268"	33.605432	-111.718213	"4672"
"Mojo's Famous Hot Dogs"	"4251 Statesville Rd"	"Charlotte"	"28269"	35.277920114	-80.834931694	"1321"
"Cox Communications"	NA	"Phoenix"	"85027"	33.6782379	-112.1012912	"187"
"Diamondback Garage Doors"	NA	"Phoenix"	"85027"	33.6782379	-112.1012912	"187"
"The Brick"	"19 William Kitchen Road"	"Scarborough"	"M1P 5B7"	43.7736294	-79.279548	"6440"
