"provider"	"name"	"street"	"city"	"state"	"zip"	"country"	"latitude"	"longitude"	"categories"	"phone"	"hours_monday"	"hours_tuesday"	"hours_wednesday"	"hours_thursday"	"hours_friday"	"hours_saturday"	"hours_sunday"	"name_score"	"distance"	"index"	"score.name_score"	"score.distance_score"	"score.phone_score"	"score.category_score"	"score.sum_score"	"score.matching"
																										
"Google"	"H&R Block"	"1159 E Twain Ave Ste 108"	"Las Vegas"	"NV"	"89109"	"USA"	"36.121032"	"-115.1382945"	"professional, financialservices"	"+17027376699"	"9:00 AM – 7:00 PM"	"9:00 AM – 7:00 PM"	"9:00 AM – 7:00 PM"	"9:00 AM – 7:00 PM"	"9:00 AM – 7:00 PM"	"9:00 AM – 6:00 PM"	"12:00 – 4:00 PM"	100	4.592744e-03	  5	50.0	20	10	20	100.0	MATCHED
"Facebook"	"H&R Block"	"1159 E Twain Ave, Ste 108"	"Las Vegas"	"NV"	"89109"	"United States"	"36.121031985948"	"-115.1382945478"	"Tax Preparation Service"	"7027376699"	"09:00-19:00"	"09:00-19:00"	"09:00-19:00"	"09:00-19:00"	"09:00-19:00"	"09:00-18:00"	"12:00-16:00"	100	1.876283e-05	  5	50.0	20	10	 0	 80.0	MATCHED
"Yelp"	"H&R Block"	"1159 E Twain Ave, Ste 108"	"Las Vegas"	"NV"	"89109"	""	"36.1210319859"	"-115.138294548"	"Financial Services, Professional Services, Financial Advising, Accountants, Tax Services"	"7027376699, +17027376699"	"8:0-22:0"	"8:0-23:45"	"9:0-17:0"	"8:0-21:0"	"8:0-21:0"	"8:0-21:0"	"8:0-22:0"	  0	0.000000e+00	  5	 0.0	 0	 0	 0	  0.0	
"Google"	"The Original Mattress Factory"	"15 Freeport Rd"	"Pittsburgh"	"PA"	"15215"	"USA"	"40.4922444"	"-79.9088296"	"shopping, shopping, shopping"	"+14127824700"	"9:00 AM – 9:00 PM"	"9:00 AM – 9:00 PM"	"9:00 AM – 9:00 PM"	"9:00 AM – 9:00 PM"	"9:00 AM – 9:00 PM"	"10:00 AM – 5:00 PM"	"12:00 – 5:00 PM"	100	5.388590e+01	 36	50.0	 0	10	20	 80.0	MATCHED
"Facebook"	"The Original Mattress Factory"	"15 Freeport Rd"	"Pittsburgh"	"PA"	"15215-2905"	"United States"	"40.49255"	"-79.90894"	"Mattress Store"	"4127824700"	"09:00-21:00"	"09:00-21:00"	"09:00-21:00"	"09:00-21:00"	"09:00-21:00"	"10:00-17:00"	"12:00-17:00"	100	1.992007e+01	 36	50.0	15	10	 0	 75.0	MATCHED
"Yelp"	"The Original Mattress Factory"	"15 Freeport Rd, Ste 500"	"Pittsburgh"	"PA"	"15215"	""	"40.4926841"	"-79.9090958"	"Furniture Stores, Shopping, Home & Garden, Mattresses"	"4127824700, +14127824700"	"9:0-21:0"	"9:0-21:0"	"9:0-21:0"	"9:0-21:0"	"9:0-21:0"	"10:0-17:0"	"9:0-21:0"	  0	0.000000e+00	 36	 0.0	 0	 0	 0	  0.0	
"Google"	"PetSmart"	"12 William Kitchen Rd"	"Scarborough"	"ON"	"M1P"	"Canada"	"43.7712643"	"-79.2812688"	"shopping"	"+14163357922"	"9:00 AM – 9:00 PM"	"9:00 AM – 9:00 PM"	"9:00 AM – 9:00 PM"	"9:00 AM – 9:00 PM"	"9:00 AM – 9:00 PM"	"9:00 AM – 9:00 PM"	"10:00 AM – 6:00 PM"	100	2.397702e+01	 43	50.0	10	10	 0	 70.0	MATCHED
"Facebook"	"PetSmart"	"12 William Kitchen Drive"	"Toronto"	"ON"	"M1P 5B7"	"Canada"	"43.7712643"	"-79.2812688"	"Pet Store, Pet Service"	"4163357922"	"09:00-21:00"	"09:00-21:00"	"09:00-21:00"	"09:00-21:00"	"09:00-21:00"	"09:00-21:00"	"10:00-18:00"	100	2.397702e+01	 43	50.0	10	10	20	 90.0	MATCHED
"Yelp"	"PetSmart"	"12 William Kitchen Road"	"Scarborough"	"ON"	"M1P 5B7"	""	"43.7710491"	"-79.2812563"	"Pet Groomers, Pet Stores, Pet Services, Pet Training, Pets"	"4163357922, +14163357922"	"9:0-21:0"	"9:0-21:0"	"9:0-21:0"	"9:0-21:0"	"9:0-21:0"	"9:0-21:0"	"9:0-21:0"	  0	0.000000e+00	 43	 0.0	 0	 0	 0	  0.0	
"Google"	"Starbucks"	"4916 S Fort Apache Rd #1A"	"Las Vegas"	"NV"	"89148"	"USA"	"36.0991948"	"-115.2966878"	"restaurants, shopping"	"+17022539000"	"4:30 AM – 10:30 PM"	"4:30 AM – 10:30 PM"	"4:30 AM – 10:30 PM"	"4:30 AM – 10:30 PM"	"4:00 AM – 11:00 PM"	"5:00 AM – 10:30 PM"	"5:00 AM – 10:00 PM"	100	9.635972e+00	 49	50.0	20	10	 0	 80.0	MATCHED
"Facebook"	"Starbucks"	"4916 S. Ft. Apache Road"	"Las Vegas"	"NV"	"89148"	"United States"	"36.099251381954"	"-115.29672458768"	"Coffee Shop"	"7022539000"	"04:30-22:30"	"04:30-22:30"	"04:30-22:30"	"04:30-22:30"	"04:00-23:00"	"05:00-22:30"	"05:00-22:00"	100	5.772166e+00	 49	50.0	20	10	20	100.0	MATCHED
"Yelp"	"Starbucks"	"4916 S Fort Apache Rd, Ste 1A"	"Las Vegas"	"NV"	"89148"	""	"36.0992323902"	"-115.296784302"	"Coffee & Tea, Food"	"7022539000, +17022539000"	"4:30-22:0"	"4:30-22:0"	"4:30-22:0"	"4:30-22:0"	"4:30-22:0"	"4:30-22:0"	"4:30-22:0"	  0	0.000000e+00	 49	 0.0	 0	 0	 0	  0.0	
"Google"	"Larry's Great Western Meats"	"420 S Valley View Blvd"	"Las Vegas"	"NV"	"89107"	"USA"	"36.16677"	"-115.19317"	"shopping"	"+17028773182"	"9:00 AM – 7:00 PM"	"9:00 AM – 7:00 PM"	"9:00 AM – 7:00 PM"	"9:00 AM – 7:00 PM"	"9:00 AM – 7:00 PM"	"9:00 AM – 7:00 PM"	"9:00 AM – 3:00 PM"	100	3.496502e-02	 74	50.0	20	10	 0	 80.0	MATCHED
