"provider"	"name"	"street"	"city"	"state"	"zip"	"country"	"latitude"	"longitude"	"categories"	"phone"	"hours_monday"	"hours_tuesday"	"hours_wednesday"	"hours_thursday"	"hours_friday"	"hours_saturday"	"hours_sunday"	"name_score"	"distance"	"index"	"score.name_score"	"score.distance_score"	"score.phone_score"	"score.category_score"	"score.sum_score"	"score.matching"
																										
"Google"	"Fidelli Kitchen"	"1616 Camden Rd #100"	"Charlotte"	"NC"	"28203"	"USA"	"35.2142026"	"-80.8576802"	"restaurants, nightlife"	"+17045948000"	""	""	""	""	""	""	""	100	22.891091576	  3	50.0	10	10	20	 90.0	MATCHED
"Facebook"	"Fidelli Kitchen"	"1616 Camden Rd Ste 100"	"Charlotte"	"NC"	"28203"	"United States"	"35.214091422"	"-80.857819407"	"Wine Bar"	"7045948000"	"11:00-22:00"	"11:00-22:00"	"11:00-22:00"	"11:00-22:00"	"11:00-23:00"	"11:00-23:00"	"16:00-22:00"	100	39.989914345	  3	50.0	 5	10	20	 85.0	MATCHED
"Yelp"	"Fidelli Kitchen"	"1616 Camden Rd, Ste 100"	"Charlotte"	"NC"	"28203"	""	"35.2142874097"	"-80.8574509097"	"Bars, Italian, Restaurants, Wine Bars, Nightlife"	"7045948000, +17045948000"	"11:0-22:0"	"11:0-22:0"	"11:0-22:0"	"11:0-22:0"	"11:0-23:0"	"11:0-23:0"	"11:0-22:0"	  0	 0.000000000	  3	 0.0	 0	 0	 0	  0.0	
"Google"	"Claddagh Irish Pub"	"407 Cinema Dr"	"Pittsburgh"	"PA"	"15203"	"USA"	"40.4279465"	"-79.9647801"	"nightlife, restaurants"	"+14123814800"	"11:00 AM – 12:00 AM"	"11:00 AM – 1:00 AM"	"11:00 AM – 1:00 AM"	"11:00 AM – 1:00 AM"	"11:00 AM – 2:00 AM"	"11:00 AM – 2:00 AM"	"11:00 AM – 1:00 AM"	100	40.473960208	  4	50.0	 2	10	20	 82.0	MATCHED
"Facebook"	"Claddagh Irish Pub"	"407  Canoe Way"	"Pittsburgh"	"PA"	"15224"	"United States"	"40.428042195042"	"-79.964668281573"	"Bar"	"4123814800"	"11:00-00:00"	"11:00-00:00"	"11:00-00:00"	"11:00-00:00"	"11:00-01:00"	"11:00-01:00"	"11:00-22:00"	100	51.952836087	  4	50.0	 0	10	20	 80.0	MATCHED
"Yelp"	"Claddagh Irish Pub"	"407 Cinema Dr"	"Pittsburgh"	"PA"	"15203"	""	"40.4279062791"	"-79.9652548"	"Pubs, Nightlife, Restaurants, Bars, Irish"	"4123814800, +14123814800"	"11:0-0:0"	"11:0-0:0"	"11:0-0:0"	"11:0-0:0"	"11:0-2:0"	"11:0-2:0"	"11:0-0:0"	  0	 0.000000000	  4	 0.0	 0	 0	 0	  0.0	
"Google"	"The Original Mattress Factory"	"15 Freeport Rd"	"Pittsburgh"	"PA"	"15215"	"USA"	"40.4922444"	"-79.9088296"	"shopping, shopping, shopping"	"+14127824700"	"9:00 AM – 9:00 PM"	"9:00 AM – 9:00 PM"	"9:00 AM – 9:00 PM"	"9:00 AM – 9:00 PM"	"9:00 AM – 9:00 PM"	"10:00 AM – 5:00 PM"	"12:00 – 5:00 PM"	100	53.885898618	 36	50.0	 0	10	20	 80.0	MATCHED
"Facebook"	"The Original Mattress Factory"	"15 Freeport Rd"	"Pittsburgh"	"PA"	"15215-2905"	"United States"	"40.49255"	"-79.90894"	"Mattress Store"	"4127824700"	"09:00-21:00"	"09:00-21:00"	"09:00-21:00"	"09:00-21:00"	"09:00-21:00"	"10:00-17:00"	"12:00-17:00"	100	19.920073488	 36	50.0	15	10	 0	 75.0	MATCHED
"Yelp"	"The Original Mattress Factory"	"15 Freeport Rd, Ste 500"	"Pittsburgh"	"PA"	"15215"	""	"40.4926841"	"-79.9090958"	"Furniture Stores, Shopping, Home & Garden, Mattresses"	"4127824700, +14127824700"	"9:0-21:0"	"9:0-21:0"	"9:0-21:0"	"9:0-21:0"	"9:0-21:0"	"10:0-17:0"	"9:0-21:0"	  0	 0.000000000	 36	 0.0	 0	 0	 0	  0.0	
"Google"	"Château Kabab"	"2140 Rue Guy"	"Montréal"	"QC"	"H3H"	"Canada"	"45.4958857"	"-73.5801559"	"restaurants"	"+15149321114"	"11:00 AM – 12:00 AM"	"11:00 AM – 12:00 AM"	"11:00 AM – 12:00 AM"	"11:00 AM – 12:00 AM"	"11:00 AM – 12:00 AM"	"11:00 AM – 12:00 AM"	"11:00 AM – 12:00 AM"	100	10.309618902	 67	50.0	15	10	20	 95.0	MATCHED
"Facebook"	"Château Kabab"	"2140, rue Guy"	"Montreal"	"QC"	"H3H 2L8"	"Canada"	"45.49607"	"-73.58068"	"Barbecue Restaurant, Middle Eastern Restaurant, Mediterranean Restaurant"	"149321114"	""	""	""	""	""	""	""	100	38.519859063	 67	50.0	 5	 0	20	 75.0	MATCHED
"Yelp"	"Château Kabab"	"2140 Rue Guy"	"Montréal"	"QC"	"H3H 2L8"	""	"45.4958633"	"-73.5802841"	"Halal, Middle Eastern, Restaurants, Kebab, Persian/Iranian"	"5149321114, +15149321114"	"11:0-0:0"	"11:0-0:0"	"11:0-0:0"	"11:0-0:0"	"11:0-0:0"	"11:0-0:0"	"11:0-0:0"	  0	 0.000000000	 67	 0.0	 0	 0	 0	  0.0	
"Google"	"Thyme Maternity"	"1900 Eglinton Ave E"	"Scarborough"	"ON"	"M1L"	"Canada"	"43.728053"	"-79.294142"	"shopping, shopping"	"+14167518038"	"10:00 AM – 9:00 PM"	"10:00 AM – 9:00 PM"	"10:00 AM – 9:00 PM"	"10:00 AM – 9:00 PM"	"10:00 AM – 9:00 PM"	"10:00 AM – 6:00 PM"	"11:00 AM – 5:00 PM"	100	86.611963317	 88	50.0	-5	10	20	 75.0	MATCHED
"Facebook"	"Thyme Maternity"	"1900 Eglinton Ave. E."	"Toronto"	"ON"	"M1L2L9"	"Canada"	"43.727339920281"	"-79.293426275253"	"Women's Clothing Store"	"167518038"	"10:00-21:00"	"10:00-21:00"	"10:00-21:00"	"10:00-21:00"	"10:00-21:00"	"10:00-18:00"	"11:00-17:00"	100	42.990993287	 88	50.0	 2	 0	20	 72.0	MATCHED
"Yelp"	"Thyme Maternity"	"1900 Eglinton Avenue E"	"Scarborough"	"ON"	"M1L 2L9"	""	"43.7272867"	"-79.2939556"	"Shopping, Fashion, Maternity Wear, Accessories, Women's Clothing"	"4167518038, +14167518038"	"10:0-21:0"	"10:0-21:0"	"10:0-21:0"	"10:0-21:0"	"10:0-21:0"	"10:0-18:0"	"10:0-21:0"	  0	 0.000000000	 88	 0.0	 0	 0	 0	  0.0	
"Google"	"The Cathedral of Saint John the Evangelist"	"1007 Superior Ave"	"Cleveland"	"OH"	"44114"	"USA"	"41.5030193"	"-81.6881019"	"religiousorgs, religiousorgs"	"+12167716666"	""	""	""	""	""	""	""	 91	 7.510010515	131	45.5	20	10	20	 95.5	MATCHED
"Facebook"	"Cathedral of St. John the Evangelist"	"1007 Superior Ave E"	"Cleveland"	"OH"	"44114"	"United States"	"41.5028"	"-81.6884"	"Catholic Church, Landmark & Historical Place"	"2167716666"	""	""	""	""	""	""	""	100	36.260852133	131	50.0	 5	10	20	 85.0	MATCHED
