Parent,Category,Yelp_category
Airline,Airline Industry Services,hotelstravel
American Restaurant,New American Restaurant,restaurants
Amusement Park Ride,Roller Coaster,active
Amusement,Arcade,arts
Amusement,Bingo Hall,arts
Amusement,Go Karting,active
Amusement,Laser Tag,active
Antiques & Vintage,Antique Store,shopping
Antiques & Vintage,Auction House,shopping
Antiques & Vintage,Flea Market,shopping
Antiques & Vintage,Vintage Store,shopping
Armed Forces,Military Base,
Arts & Entertainment,Amusement,arts
Arts & Entertainment,Amusement Park Ride,active
Arts & Entertainment,Art Gallery,arts
Arts & Entertainment,Bowling Alley,active
Arts & Entertainment,Casino,arts
Arts & Entertainment,Circus,arts
Arts & Entertainment,Comedy Club,nightlife
Arts & Entertainment,Concert Venue,arts
Arts & Entertainment,Movie Theatre,arts
Arts & Entertainment,Museum,arts
Arts & Entertainment,Newspaper,shopping
Arts & Entertainment,Orchestra,arts
Arts & Entertainment,Performance Venue,arts
Arts & Entertainment,Race Track,arts
Arts & Entertainment,Rodeo,arts
Arts & Entertainment,Social Club,arts
Arts & Entertainment,Sports Venue & Stadium,arts
Arts & Entertainment,Symphony,arts
Arts & Entertainment,Theatre,arts
Arts & Entertainment,Theme Park,arts
Arts & Entertainment,Ticket Sales,arts
Arts & Entertainment,Tourist Attraction,arts
Arts & Entertainment,Zoo & Aquarium,active
Arts & Marketing,Advertising Agency,professional
Arts & Marketing,Architect,professional
Arts & Marketing,Art Restoration,localservices
Arts & Marketing,Artistic Services,professional
Arts & Marketing,Broadcasting & Media Production,massmedia
Arts & Marketing,Entertainment Service,arts
Arts & Marketing,Fashion Designer,fashion
Arts & Marketing,Graphic Design,professional
Arts & Marketing,Image Consultant,professional
Arts & Marketing,Market Research Consultant,professional
Arts & Marketing,Marketing Consultant,professional
Arts & Marketing,Modeling Agency,professional
Arts & Marketing,Movie & Television Studio,professional
Arts & Marketing,Music Production,professional
Arts & Marketing,Photographer,eventservices
Arts & Marketing,Photographic Services & Equipment,shopping
Arts & Marketing,Public Relations,professional
Arts & Marketing,Publisher,professional
Arts & Marketing,Screen Printing & Embroidery,shopping
Arts & Marketing,Sports Promoter,professional
Arts & Marketing,Trophies & Engraving,localservices
Arts & Marketing,Web Design,professional
Arts & Marketing,Web Development,professional
Asian Restaurant,Burmese Restaurant,restaurants
Asian Restaurant,Cambodian Restaurant,restaurants
Asian Restaurant,Chinese Restaurant,restaurants
Asian Restaurant,Filipino Restaurant,restaurants
Asian Restaurant,Himalayan Restaurant,restaurants
Asian Restaurant,Japanese Restaurant,restaurants
Asian Restaurant,Korean Restaurant,restaurants
Asian Restaurant,Malaysian Restaurant,restaurants
Asian Restaurant,Mongolian Restaurant,restaurants
Asian Restaurant,Nepalese Restaurant,restaurants
Asian Restaurant,Singaporean Restaurant,restaurants
Asian Restaurant,Taiwanese Restaurant,restaurants
Asian Restaurant,Thai Restaurant,restaurants
Asian Restaurant,Vietnamese Restaurant,restaurants
Automotive,ATVs & Golf Carts,auto
Automotive,Auto Body Shop,auto
Automotive,Auto Glass,auto
Automotive,Automobile Leasing,auto
Automotive,Automotive Consultant,auto
Automotive,Automotive Customizing,auto
Automotive,Automotive Manufacturing,auto
Automotive,Automotive Parts & Accessories,auto
Automotive,Automotive Repair,auto
Automotive,Automotive Restoration,auto
Automotive,Automotive Storage,auto
Automotive,Automotive Trailer Services,auto
Automotive,Automotive Wholesaler,auto
Automotive,Aviation Fuel,auto
Automotive,Boat Dealer,auto
Automotive,Car Dealership,auto
Automotive,Car Parts & Accessories,auto
Automotive,Car Wash & Detailing,auto
Automotive,Commercial Automotive,auto
Automotive,DMV,auto
Automotive,Emergency Roadside Service,auto
Automotive,Emissions Inspection,auto
Automotive,Exotic Car Rental,auto
Automotive,Gas Station,auto
Automotive,Motorcycle Repair,auto
Automotive,Motorcycles,auto
Automotive,Oil Lube & Filter Service,auto
Automotive,Race Cars,auto
Automotive,Railroad,auto
Automotive,Recreational Vehicle Dealer,auto
Automotive,RV Dealership,auto
Automotive,RV Repair,auto
Automotive,Smog Check Station,auto
Automotive,Snowmobiles,auto
Automotive,Tire Dealer,auto
Automotive,Towing Service,auto
Automotive,Trailer Rental,auto
Automotive,Truck Rental,auto
Automotive,Truck Towing,auto
Automotive,Window Service & Repair,auto
Bank,Commercial Bank,financialservices
Bar,Bar & Grill,nightlife
Bar,Dive Bar,nightlife
Bar,Gastropub,restaurants
Bar,Gay Bar,nightlife
Bar,Sports Bar,nightlife
Bar,Tapas Bar & Restaurant,restaurants
Bar,Wine Bar,nightlife
Book Store,Religious Book Store,shopping
Business Services,Advertising Service,professional
Business Services,Business Center,professional
Business Services,Business Consultant,professional
Business Services,Business Supply Service,shopping
Business Services,Chemicals & Gasses,homeservices
Business Services,Cleaning Service,homeservices
Business Services,Computer Services,localservices
Business Services,Copying & Printing,localservices
Business Services,Copywriting Service,homeservices
Business Services,Direct Mail Service,localservices
Business Services,Document Service,homeservices
Business Services,Email Marketing,professional
Business Services,Employment Agency,professional
Business Services,Entertainment Service,professional
Business Services,Environmental Consultant,professional
Business Services,Franchising Service,localservices
Business Services,Glass Products,homeservices
Business Services,Hair & Beauty Supply,beautysvc
Business Services,Handwriting Service,professional
Business Services,Internet Service Provider,homeservices
Business Services,Management Service,homeservices
Business Services,Merchandising Service,professional
Business Services,Office Supplies,shopping
Business Services,Pawn Shop,shopping
Business Services,Printing Service,localservices
Business Services,Recruiter,professional
Business Services,Refrigeration Sales & Service,localservices
Business Services,Secretarial Service,professional
Business Services,Telemarketing Service,professional
Business Services,Translator,professional
Business Services,Transportation Service,professional
Business Services,Waste Management,localservices
Business Services,Writing Service,localservices
Cafe,Cyber Cafe,restaurants
Cafe,Internet Cafe,food
Chicken Restaurant,Chicken Wings,restaurants
Chinese Restaurant,Cantonese Restaurant,restaurants
Church,African Methodist Episcopal Church,religiousorgs
Church,Anglican Church,religiousorgs
Church,Apostolic Church,religiousorgs
Church,Assembly of God,religiousorgs
Church,Baptist Church,religiousorgs
Church,Catholic Church,religiousorgs
Church,Charismatic Church,religiousorgs
Church,Christian Church,religiousorgs
Church,Christian Science Church,religiousorgs
Church,Church of Christ,religiousorgs
Church,Church of God,religiousorgs
Church,Church of Jesus Christ of Latter-day Saints,religiousorgs
Church,Congregational Church,religiousorgs
Church,Eastern Orthodox Church,religiousorgs
Church,Episcopal Church,religiousorgs
Church,Evangelical Church,religiousorgs
Church,Full Gospel Church,religiousorgs
Church,Holiness Church,religiousorgs
Church,Independent Church,religiousorgs
Church,Interdenominational Church,religiousorgs
Church,Kingdom Hall,religiousorgs
Church,Lutheran Church,religiousorgs
Church,Mennonite Church,religiousorgs
Church,Methodist Church,religiousorgs
Church,Nazarene Church,religiousorgs
Church,Nondenominational Church,religiousorgs
Church,Pentecostal Church,religiousorgs
Church,Presbyterian Church,religiousorgs
Church,Seventh Day Adventist Church,religiousorgs
Classes,Cooking Lesson,shopping
Classes,Dance Instruction,education
Classes,Driving School,education
Classes,First Aid Class,education
Classes,Music Lessons & Instruction,education
Classes,Ski & Snowboard School,education
Classes,Sports Instruction,education
Clothing Store,Accessories Store,shopping
Clothing Store,Bridal Shop,shopping
Clothing Store,Children's Clothing Store,shopping
Clothing Store,Costume Shop,shopping
Clothing Store,Formal Wear,shopping
Clothing Store,Men's Clothing Store,shopping
Clothing Store,Shoe Store,shopping
Clothing Store,Sportswear,shopping
Clothing Store,Swimwear,shopping
Clothing Store,Women's Clothing Store,shopping
College & University,Medical School,education
College & University,Technical Institute,education
Commercial & Industrial,Automation Services,homeservices
Commercial & Industrial,Biotechnology,professional
Commercial & Industrial,Commercial & Industrial Equipment,shopping
Commercial & Industrial,Elevator Services,localservices
Commercial & Industrial,Engineering Service,professional
Commercial & Industrial,Fire Protection,homeservices
Commercial & Industrial,Gas & Chemical Service,homeservices
Commercial & Industrial,Ice Machines,localservices
Commercial & Industrial,Manufacturing,professional
Commercial & Industrial,Mattress Manufacturing,professional
Commercial & Industrial,Mattress Wholesale,shopping
Commercial & Industrial,Metals,localservices
Commercial & Industrial,Petroleum Services,localservices
Commercial & Industrial,Plastics,localservices
Commercial & Industrial,Refrigeration,localservices
Commercial & Industrial,Robotics,localservices
Commercial & Industrial,Storage Service,localservices
Commercial & Industrial,Textiles,localservices
Commercial & Industrial,Vending Machine Service,localservices
Commercial & Industrial,Warehouse,localservices
Community & Government,Armed Forces,publicservicesgovt
Community & Government,City Hall,publicservicesgovt
Community & Government,Clubhouse,publicservicesgovt
Community & Government,Community Center,publicservicesgovt
Community & Government,Consulate & Embassy,publicservicesgovt
Community & Government,Convention Center,publicservicesgovt
Community & Government,Courthouse,publicservicesgovt
Community & Government,Education,education
Community & Government,Environmental Conservation,publicservicesgovt
Community & Government,Fire Station,publicservicesgovt
Community & Government,Government Organization,publicservicesgovt
Community & Government,Halfway House,health
Community & Government,Law Enforcement,publicservicesgovt
Community & Government,Library,publicservicesgovt
Community & Government,Lobbyist,publicservicesgovt
Community & Government,Newspaper,shopping
Community & Government,Notary Public,localservices
Community & Government,Organization,publicservicesgovt
Community & Government,Post Office,publicservicesgovt
Community & Government,Prison & Correctional Facility,publicservicesgovt
Community & Government,Public Places & Attractions,publicservicesgovt
Community & Government,Public Services,publicservicesgovt
Community & Government,Religious Center,education
Community & Government,Reproductive Services,health
Community & Government,School,education
Community & Government,Senior Center,active
Computers & Electronics,Computer Store,shopping
Computers & Electronics,Electronics Store,shopping
Computers & Electronics,Video Games,shopping
Convenience Store,Lottery Retailer,shopping
Convenience Store,Tobacco Store,shopping
Discount Store,Outlet Store,shopping
