Google_category,Yelp_layer
accounting,professional
airport,hotelstravel
amusement_park,active
aquarium,active
art_gallery,arts
atm,financialservices
bakery,food
bank,financialservices
bar,nightlife
beauty_salon,beautysvc
bicycle_store,active
book_store,shopping
bowling_alley,active
bus_station,transport
cafe,restaurants
campground,hotelstravel
car_dealer,auto
car_rental,hotelstravel
car_repair,auto
car_wash,auto
casino,arts
cemetery,localservices
church,religiousorgs
city_hall,publicservicesgovt
clothing_store,shopping
convenience_store,food
courthouse,publicservicesgovt
dentist,health
department_store,shopping
doctor,health
electrician,homeservices
electronics_store,shopping
embassy,publicservicesgovt
fire_station,publicservicesgovt
florist,shopping
funeral_home,localservices
furniture_store,shopping
gas_station,auto
gym,active
hair_care,beautysvc
hardware_store,shopping
hindu_temple,religiousorgs
home_goods_store,shopping
hospital,health
insurance_agency,financialservices
jewelry_store,shopping
laundry,localservices
lawyer,professional
library,publicservicesgovt
liquor_store,shopping
local_government_office,publicservicesgovt
locksmith,homeservices
lodging,localservices
meal_delivery,localservices
meal_takeaway,localservices
mosque,religiousorgs
movie_rental,arts
movie_theater,arts
moving_company,professional
museum,arts
night_club,nightlife
painter,homeservices
park,active
parking,auto
pet_store,pets
pharmacy,health
physiotherapist,health
plumber,homeservices
police,publicservicesgovt
post_office,publicservicesgovt
real_estate_agency,realestate
restaurant,restaurants
roofing_contractor,homeservices
rv_park,hotelstravel
school,education
shoe_store,shopping
shopping_mall,shopping
spa,beautysvc
stadium,arts
storage,localservices
store,shopping
subway_station,hotelstravel
supermarket,shopping
synagogue,religiousorgs
taxi_stand,hotelstravel
train_station,hotelstravel
transit_station,hotelstravel
travel_agency,hotelstravel
veterinary_care,pets
zoo,active
administrative_area_level_1,publicservicesgovt
administrative_area_level_2,publicservicesgovt
administrative_area_level_3,publicservicesgovt
administrative_area_level_4,publicservicesgovt
administrative_area_level_5,publicservicesgovt
colloquial_area,publicservicesgovt
country,publicservicesgovt
establishment,publicservicesgovt
finance,financialservices
floor,homeservices
food,food
general_contractor,homeservices
geocode,
health,health
intersection,
locality,
natural_feature,
neighborhood,
place_of_worship,religiousorgs
political,
point_of_interest,
post_box,
postal_code,
postal_code_prefix,
postal_code_suffix,
postal_town,
premise,
room,
route,
street_address,
street_number,
sublocality,
sublocality_level_4,
sublocality_level_5,
sublocality_level_3,
sublocality_level_2,
sublocality_level_1,
subpremise,
