"provider"	"name"	"street"	"city"	"state"	"zip"	"country"	"latitude"	"longitude"	"categories"	"phone"	"hours_monday"	"hours_tuesday"	"hours_wednesday"	"hours_thursday"	"hours_friday"	"hours_saturday"	"hours_sunday"	"name_score"	"distance"	"index"	"score.name_score"	"score.distance_score"	"score.phone_score"	"score.category_score"	"score.sum_score"	"score.matching"
																										
"Google"	"Starbucks Indigo"	"Islington - City Centre West"	"Toronto"	"ON"	"M9C"	"Canada"	"43.6128348"	"-79.5557329"	"restaurants"	"+14166261995"	"8:00 AM – 9:30 PM"	"8:00 AM – 9:30 PM"	"8:00 AM – 9:30 PM"	"8:00 AM – 9:30 PM"	"8:00 AM – 10:00 PM"	"8:00 AM – 10:00 PM"	"10:00 AM – 7:00 PM"	 72	7.145466e+00	 22	36.0	20	 0	20	 76.0	MATCHED
"Facebook"	"Starbucks Canada"	"25 The West Mall"	"Toronto"	"ON"	"M9C 1B8"	"Canada"	"43.612889783882"	"-79.555671187119"	"Coffee Shop"	"(4166214954\""	"07:00-22:00"	"07:00-22:00"	"07:00-22:00"	"07:00-22:00"	"07:00-22:00"	"08:00-20:00"	"09:00-20:00"	 72	5.282414e+00	 22	36.0	20	 0	20	 76.0	MATCHED
"Yelp"	"Starbucks"	"1606-25 The West Mall"	"Toronto"	"ON"	"M9C 1B8"	""	"43.6128989614"	"-79.5557354906"	"Coffee & Tea, Food, Restaurants, Cafes"	"4166214954, +14166214954"	"6:0-22:0"	"6:0-22:0"	"6:0-22:0"	"6:0-22:0"	"6:0-22:0"	"7:0-22:0"	"6:0-22:0"	  0	0.000000e+00	 22	 0.0	 0	 0	 0	  0.0	
"Google"	"Guu Izakaya"	"1314 Queen St W"	"Toronto"	"ON"	"M6K"	"Canada"	"43.6418337"	"-79.4311034"	"restaurants"	"+16473511314"	"5:30 – 11:00 PM"	"5:30 – 11:00 PM"	"5:30 – 11:00 PM"	"5:30 – 11:00 PM"	"5:30 PM – 12:00 AM"	"5:30 PM – 12:00 AM"	"5:30 – 11:00 PM"	 73	3.884135e+00	 25	36.5	20	10	20	 86.5	MATCHED
"Facebook"	"Guu Izakaya Toronto"	"1314 Queen Street West"	"Toronto"	"ON"	"M6K 1L4"	"Canada"	"43.64192"	"-79.43111"	"Japanese Restaurant, Tapas Bar & Restaurant"	"473511314"	"17:30-23:00"	"17:30-23:00"	"17:30-23:00"	"17:30-23:00"	"17:30-00:00"	"17:30-12:00"	"17:30-23:00"	100	6.075029e+00	 25	50.0	20	 0	20	 90.0	MATCHED
"Yelp"	"Guu Izakaya Toronto"	"1314 Queen Street W"	"Toronto"	"ON"	"M6K 1L4"	""	"43.6418673011"	"-79.4310904075"	"Restaurants, Japanese, Izakaya, Tapas Bars"	"6473511314, +16473511314"	"17:30-23:0"	"17:30-23:0"	"17:30-23:0"	"17:30-23:0"	"17:30-0:0"	"17:30-0:0"	"17:30-23:0"	  0	0.000000e+00	 25	 0.0	 0	 0	 0	  0.0	
"Google"	"COBS Bread Bakery"	"156 Danforth Ave"	"Toronto"	"ON"	"M4K"	"Canada"	"43.6766857"	"-79.3574755"	"food, shopping"	"+16477763370"	"6:00 AM – 7:30 PM"	"6:00 AM – 7:30 PM"	"6:00 AM – 7:30 PM"	"6:00 AM – 7:30 PM"	"6:00 AM – 7:30 PM"	"6:00 AM – 7:00 PM"	"6:00 AM – 6:00 PM"	 71	3.469151e-01	 34	35.5	20	10	20	 85.5	MATCHED
"Facebook"	"COBS Bread"	"156 Danforth Avenue"	"Toronto"	"ON"	"M4K 1N1"	"Canada"	"43.6766891"	"-79.35746"	"Bakery, Specialty Grocery Store"	"6477763370"	"06:00-19:30"	"06:00-19:30"	"06:00-19:30"	"06:00-19:30"	"06:00-19:30"	"06:00-19:00"	"06:00-18:00"	 95	1.633446e+00	 34	47.5	20	10	20	 97.5	MATCHED
"Yelp"	"Cob's Bread"	"156 Danforth Avenue"	"Toronto"	"ON"	"M4K 1N1"	""	"43.6766859"	"-79.3574798"	"Food, Bakeries"	"6477763370, +16477763370"	"6:0-19:30"	"6:0-19:30"	"6:0-19:30"	"6:0-19:30"	"6:0-19:30"	"6:0-19:0"	"6:0-19:30"	  0	0.000000e+00	 34	 0.0	 0	 0	 0	  0.0	
"Google"	"Sammy's Woodfired Pizza"	"6500 W Sahara Ave"	"Las Vegas"	"NV"	"89146"	"USA"	"36.1443676"	"-115.2366692"	"nightlife, restaurants"	"+17022276000"	"11:00 AM – 9:00 PM"	"11:00 AM – 9:00 PM"	"11:00 AM – 9:00 PM"	"11:00 AM – 9:00 PM"	"11:00 AM – 9:30 PM"	"11:00 AM – 9:30 PM"	"11:00 AM – 9:00 PM"	 82	1.129630e+01	 65	41.0	15	10	20	 86.0	MATCHED
"Facebook"	"Sammy's Woodfired Pizza"	"6500 W Sahara Ave"	"Las Vegas"	"NV"	"89146-2929"	"United States"	"36.144493666634"	"-115.23669988125"	"Pizza Place, Bar & Grill"	"7022276000"	"11:00-21:30"	"11:00-21:30"	"11:00-21:30"	"11:00-21:30"	"11:00-22:00"	"11:00-22:00"	"11:00-21:30"	 82	3.716088e+00	 65	41.0	20	10	20	 91.0	MATCHED
"Yelp"	"Sammy's Woodfired Pizza and Grill"	"6500 W Sahara Ave"	"Las Vegas"	"NV"	"89146"	""	"36.144469052"	"-115.236671957"	"Restaurants, Pizza, Gluten-Free, Salad"	"7022276000, +17022276000"	"11:0-21:0"	"11:0-21:0"	"11:0-21:0"	"11:0-21:0"	"11:0-21:30"	"11:0-21:30"	"11:0-21:0"	  0	0.000000e+00	 65	 0.0	 0	 0	 0	  0.0	
"Google"	"Any Direct Flight Fashion Boutique"	"1382 Queen St E"	"Toronto"	"ON"	"M4L"	"Canada"	"43.664564"	"-79.324826"	"shopping, shopping"	"+14165040017"	"8:00 AM – 6:00 PM"	"Closed"	"8:00 AM – 6:00 PM"	"8:00 AM – 7:00 PM"	"8:00 AM – 7:00 PM"	"8:00 AM – 6:00 PM"	"10:00 AM – 5:00 PM"	 67	5.992466e+00	 73	33.5	20	10	20	 83.5	MATCHED
"Facebook"	"Any Direct Flight"	"1382 Queen Street East"	"Toronto"	"ON"	"M4L 1C9"	"Canada"	"43.66466"	"-79.3248"	"Women's Clothing Store, Coffee Shop, Arts & Crafts Store"	"4165040017"	"08:00-18:00"	"08:00-18:00"	"08:00-19:00"	"08:00-19:00"	"08:00-18:00"	"09:00-17:00"	"NA-NA"	100	6.521856e+00	 73	50.0	20	10	20	100.0	MATCHED
"Yelp"	"Any Direct Flight"	"1382 Queen Street E"	"Toronto"	"ON"	"M4L 1C9"	""	"43.664604"	"-79.3247762"	"Shopping, Women's Clothing, Fashion, Arts & Crafts"	"4165040017, +14165040017"	"8:0-18:0"	"8:0-18:0"	"8:0-19:0"	"8:0-19:0"	"8:0-19:0"	"8:0-18:0"	"8:0-18:0"	  0	0.000000e+00	 73	 0.0	 0	 0	 0	  0.0	
"Google"	"Queen Sheba Ethippian Restaurant"	"4808 Central Ave"	"Charlotte"	"NC"	"28205"	"USA"	"35.211276"	"-80.762534"	"restaurants"	"+17045666222"	"3:00 – 10:00 PM"	"3:00 – 10:00 PM"	"3:00 – 10:00 PM"	"3:00 – 10:00 PM"	"3:00 PM – 2:00 AM"	"11:30 AM – 2:00 AM"	"11:30 AM – 2:00 AM"	 83	5.568946e-01	 80	41.5	20	10	20	 91.5	MATCHED
"Facebook"	"Queen Sheba Charlotte"	"4808 Central Ave, Ste C"	"Charlotte"	"NC"	"28205"	"United States"	"35.211276"	"-80.762534"	"Ethiopian Restaurant, Bar, Cafe"	"7045666222"	"11:30-21:00"	"11:30-21:00"	"11:30-21:00"	"11:30-21:00"	"11:30-21:00"	"11:30-21:00"	"NA-NA"	 60	5.568946e-01	 80	30.0	20	10	20	 80.0	MATCHED
"Yelp"	"Queen Sheba Bar & Restaurant"	"4808 Central Ave"	"Charlotte"	"NC"	"28205"	""	"35.211281"	"-80.7625338"	"Ethiopian, Nightlife, Vegetarian, Bars, Restaurants, Hookah Bars, Caribbean"	"7045666222, +17045666222"	"15:0-22:0"	"15:0-22:0"	"15:0-22:0"	"15:0-22:0"	"15:0-22:0"	"11:30-2:0"	"15:0-22:0"	  0	0.000000e+00	 80	 0.0	 0	 0	 0	  0.0	
