"provider"	"name"	"street"	"city"	"state"	"zip"	"country"	"latitude"	"longitude"	"categories"	"phone"	"hours_monday"	"hours_tuesday"	"hours_wednesday"	"hours_thursday"	"hours_friday"	"hours_saturday"	"hours_sunday"	"name_score"	"distance"	"index"	"score.name_score"	"score.distance_score"	"score.phone_score"	"score.category_score"	"score.sum_score"	"score.matching"
																										
"Google"	"Classico Louie's Pizzeria"	"2547 Yonge St"	"Toronto"	"ON"	"M4P"	"Canada"	"43.7132299"	"-79.3994487"	"localservices, localservices, restaurants"	"+14163223267"	"11:00 AM – 10:30 PM"	"11:00 AM – 11:30 PM"	"11:00 AM – 11:30 PM"	"11:00 AM – 11:30 PM"	"11:00 AM – 11:30 PM"	"11:00 AM – 11:30 PM"	"11:00 AM – 10:30 PM"	100	4.672383e+00	  7	50.0	20	10	20	100.0	MATCHED
"Facebook"	"Classico Louie's Pizzeria"	"2547 Yonge street"	"Toronto"	"ON"	"M4P 2H9"	"Canada"	"43.71326"	"-79.39934"	"Italian Restaurant, Pizza Place, Fast Food Restaurant"	"163223267"	"11:00-23:30"	"11:00-23:30"	"11:00-23:30"	"11:00-23:30"	"11:00-23:30"	"11:00-23:30"	"11:00-23:30"	100	4.918536e+00	  7	50.0	20	 0	20	 90.0	MATCHED
"Yelp"	"Classico Louie's Pizzeria"	"2547 Yonge street"	"Toronto"	"ON"	"M4P 2H9"	""	"43.7132532"	"-79.3994004"	"Pizza, Sandwiches, Restaurants, Italian"	"4163223267, +14163223267"	"11:30-23:30"	"11:30-23:30"	"11:30-23:30"	"11:30-23:30"	"11:30-23:30"	"11:30-23:30"	"11:30-23:30"	  0	0.000000e+00	  7	 0.0	 0	 0	 0	  0.0	
"Google"	"Sumo Ramen"	"1007 Boul St-Laurent"	"Montréal"	"QC"	"H2Z"	"Canada"	"45.5079488"	"-73.5593967"	"restaurants"	"+15149403668"	"11:00 AM – 10:00 PM"	"11:00 AM – 10:00 PM"	"11:00 AM – 10:00 PM"	"11:00 AM – 10:00 PM"	"11:00 AM – 11:00 PM"	"11:00 AM – 11:00 PM"	"11:00 AM – 10:00 PM"	100	6.479537e+00	 12	50.0	20	10	20	100.0	MATCHED
"Facebook"	"SUMO RAMEN"	"1007 Boul. Saint-Laurent"	"Montreal"	"QC"	"h2z 1j4"	"Canada"	"45.50806"	"-73.55931"	"Ramen Restaurant"	"149403668"	"11:00-22:00"	"11:00-22:00"	"11:30-22:00"	"11:00-22:00"	"11:00-23:00"	"11:00-23:00"	"11:00-22:00"	100	7.666992e+00	 12	50.0	20	 0	20	 90.0	MATCHED
"Yelp"	"Sumo Ramen"	"1007 Boulevard Saint-Laurent"	"Montréal"	"QC"	"H2Z 1J4"	""	"45.508002"	"-73.559363"	"Japanese, Noodles, Restaurants, Ramen, Vietnamese"	"5149403668, +15149403668"	"11:0-22:0"	"11:0-22:0"	"11:0-22:0"	"11:0-22:0"	"11:0-23:0"	"11:0-22:0"	"11:0-22:0"	  0	0.000000e+00	 12	 0.0	 0	 0	 0	  0.0	
"Google"	"Hangry Burger"	"437 Yonge St"	"Toronto"	"ON"	"M5B"	"Canada"	"43.6609076"	"-79.3827113"	"restaurants"	"+16473520081"	"11:00 AM – 12:00 AM"	"11:00 AM – 12:00 AM"	"11:00 AM – 12:00 AM"	"11:00 AM – 12:00 AM"	"11:00 AM – 1:00 AM"	"11:00 AM – 1:00 AM"	"11:00 AM – 1:00 AM"	100	1.085096e+01	 17	50.0	15	10	20	 95.0	MATCHED
"Facebook"	"Hangry Burger"	"437 Yonge Street"	"Toronto"	"ON"	"M5B 1T3"	"Canada"	"43.66092"	"-79.38266"	"Fast Food Restaurant, Burger Restaurant"	"473520081"	"11:00-00:00"	"11:00-00:00"	"11:00-00:00"	"11:00-00:00"	"11:00-01:00"	"11:00-01:00"	"11:00-01:00"	100	6.664562e+00	 17	50.0	20	 0	20	 90.0	MATCHED
"Yelp"	"Hangry Burger"	"437 Yonge Street"	"Toronto"	"ON"	"M5B 1T3"	""	"43.6609178"	"-79.3825773"	"Restaurants, Burgers"	"6473520081, +16473520081"	"11:0-0:0"	"11:0-0:0"	"11:0-0:0"	"11:0-0:0"	"11:0-1:0"	"11:0-1:0"	"11:0-0:0"	  0	0.000000e+00	 17	 0.0	 0	 0	 0	  0.0	
