"provider"	"name"	"street"	"city"	"state"	"zip"	"country"	"latitude"	"longitude"	"categories"	"phone"	"hours_monday"	"hours_tuesday"	"hours_wednesday"	"hours_thursday"	"hours_friday"	"hours_saturday"	"hours_sunday"	"name_score"	"distance"	"index"	"score.name_score"	"score.distance_score"	"score.phone_score"	"score.category_score"	"score.sum_score"	"score.matching"
"Google"	"Best Mattress"	"7220 Dean Martin Dr #100"	"Las Vegas"	"NV"	"89118"	"USA"	"36.0582435"	"-115.1820861"	"shopping, shopping, shopping"	"+17024070444"	"10:00 AM – 8:00 PM"	"10:00 AM – 8:00 PM"	"10:00 AM – 8:00 PM"	"10:00 AM – 8:00 PM"	"10:00 AM – 8:00 PM"	"10:00 AM – 7:00 PM"	"11:00 AM – 6:00 PM"	100	0.000000e+00	 11	50.0	20	10	20	100.0	MATCHED
"Facebook"	"Best Mattress"						"36.058543104161"	"-115.18159507364"	"Mattress Store"	"8885808997"	"10:00-20:00"	"10:00-20:00"	"10:00-20:00"	"10:00-20:00"	"10:00-20:00"	"10:00-20:00"	"10:00-20:00"	100	5.536233e+01	 11	50.0	 0	 0	 0	 50.0	NOT MATCHED
"Facebook"	"Kinetico Quality Water Systems"	"7220 Dean Martin Dr, Ste 400"	"Las Vegas"	"NV"	"89118"	"United States"	"36.05818385"	"-115.1819475"	"Business Service, Water Treatment Service"	"7028977177"	"08:00-17:00"	"08:00-17:00"	"08:00-17:00"	"08:00-17:00"	"08:00-17:00"	"08:00-12:00"	"NA-NA"	 37	1.413040e+01	 11	18.5	15	 0	 0	 33.5	NOT MATCHED
"Facebook"	"Tahoe Supply Company"	"7220  Dean Martin Dr"	"Clark"	"NV"	"89118"	"United States"	"36.057949922"	"-115.181922725"	"Business Service"	"7025389600"	""	""	""	""	""	""	""	 24	3.583589e+01	 11	12.0	 5	 0	 0	 17.0	NOT MATCHED
"Facebook"	"Comverge"	"7140 Dean Martin Dr"	"Las Vegas"	"NV"	"89118-4511"	"United States"	"36.05878"	"-115.18253"	"Environmental Consultant, Business Service"	"7024874746"	""	""	""	""	""	""	""	 29	7.185153e+01	 11	14.5	-5	 0	 0	  9.5	NOT MATCHED
"Facebook"	"Dyntek Services"	"7140 Dean Martin Dr"	"Las Vegas"	"NV"	"89118"	"United States"	"36.058782"	"-115.182535"	"Businesses"	"7025344080"	""	""	""	""	""	""	""	 36	7.228718e+01	 11	18.0	-5	 0	 0	 13.0	NOT MATCHED
"Facebook"	"Wagner Media"	"7260 Dean Martin Dr"	"Las Vegas"	"NV"	"89118-5232"	"United States"	"36.057827630008"	"-115.18305857748"	"Business Service, Audio Visual Equipment Store"	"7022608109"	""	""	""	""	""	""	""	 32	9.900637e+01	 11	16.0	-5	 0	 0	 11.0	NOT MATCHED
"Facebook"	"Lighting Specialties"	"7260 Dean Martin Drive, Suite 900"	"Las Vegas"	"NV"	"89118"	"United States"	"36.057827630008"	"-115.18305857748"	"Lighting Store, Business Service"	"7023846407"	"07:00-16:00"	"07:00-16:00"	"NA-NA"	"NA-NA"	"NA-NA"	"NA-NA"	"NA-NA"	 36	9.900637e+01	 11	18.0	-5	 0	 0	 13.0	NOT MATCHED
"Facebook"	"Olympus Lighting"	"7140 Dean Martin Dr, Ste 1100"	"Las Vegas"	"NV"	"89118"	"United States"	"36.058782"	"-115.182535"	"Contractor, Construction Company"	"7027312040"	"08:00-17:00"	"08:00-17:00"	"08:00-17:00"	"08:00-17:00"	"08:00-17:00"	"07:00-17:00"	"07:00-17:00"	 28	7.228718e+01	 11	14.0	-5	 0	 0	  9.0	NOT MATCHED
"Facebook"	"Ejm Development Co"	"7140 Dean Martin Dr Ste 1200"	"Las Vegas"	"NV"	"89118"	"United States"	"36.05863969"	"-115.182682756"	"Real Estate Developer"	"7025971852"	""	""	""	""	""	""	""	 26	6.948557e+01	 11	13.0	-5	 0	 0	  8.0	NOT MATCHED
